(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
	ALIyerEdon/Mobile/PlanarReflection (57 verts): 
		Ground (57 verts)	262	True	False	False	1	[floor 1 (UnityEngine.Material)] 	
	FX/Water (57 verts): 
		WaterProDaytime (57 verts)	-1	False	False	True	1	[WaterProDaytime (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
	GoogleVR/Reticle (0 verts): 
		GvrReticlePointer (0 verts)	-1	False	False	False	1	[GvrReticleMaterial (UnityEngine.Material)] 	
	Mobile/Diffuse (48 verts): 
		Cube (7) (24 verts)	-1	False	False	False	1	[47013194 (UnityEngine.Material)] 	
		Cube (6) (24 verts)	-1	False	False	False	1	[47013194 (UnityEngine.Material)] 	
	Mobile/Diffuse (10472 verts): 
		Pizza 3d m.001 (2618 verts)	164	True	False	True	1	[pizza box (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		Pizza 3d m.000 (2618 verts)	180	True	False	True	1	[pizza box (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		Pizza 3d m.002 (2618 verts)	163	True	False	True	1	[pizza box (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		Pizza 3d m.003 (2618 verts)	144	True	False	True	1	[pizza box (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
	Standard (484 verts): 
		WaterPlane (121 verts)	-1	False	False	False	1	[water_texture (UnityEngine.Material)] 	
		WaterPlane (1) (121 verts)	-1	False	False	False	1	[water_texture (UnityEngine.Material)] 	
		WaterPlane (3) (121 verts)	-1	False	False	False	1	[water_texture (UnityEngine.Material)] 	
		WaterPlane (2) (121 verts)	-1	False	False	False	1	[water_texture (UnityEngine.Material)] 	
	Standard (18351 verts): 
		Bo9 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box814.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		open door out (550 verts)	-1	False	False	True	1	[wire_229166215 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Bo40 (66 verts)	-1	False	False	True	1	[mentos_box_06 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box777.001 (66 verts)	-1	False	False	True	1	[mia_material_x1SG.001 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box757.001 (66 verts)	-1	False	False	True	1	[mia_material_x1SG.001 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box795.001 (66 verts)	-1	False	False	True	1	[mia_material_x1SG.001 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Bo13 (66 verts)	-1	False	False	True	1	[mentos_box_06 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box796.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Bo45 (66 verts)	-1	False	False	True	1	[mentos_box_06 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Bo1 (1) (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Bo18 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box770.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box812.001 (66 verts)	-1	False	False	True	1	[Material__67 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Cylinder02.001 (1280 verts)	-1	False	False	True	1	[wire_027177088 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Box807.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Cylinder16.003 (672 verts)	-1	False	False	True	1	[wire_027177027 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Box783.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box753.001 (66 verts)	-1	False	False	True	1	[mia_material_x1SG.001 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box773.001 (66 verts)	-1	False	False	True	1	[mia_material_x1SG.001 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box761 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Cylinder28.004 (672 verts)	-1	False	False	True	1	[wire_027177027 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Box803.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box49 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box755 (1) (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		open door in (550 verts)	-1	False	False	True	1	[wire_229166215 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Box758 (30 verts)	-1	False	False	True	1	[防滑.002 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times]
		Box51 (66 verts)	-1	False	False	True	1	[mentos_box_06 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Bo44 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box794.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box758.001 (30 verts)	-1	False	False	True	1	[防滑.002 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times]
		Bo19 (66 verts)	-1	False	False	True	1	[mentos_box_06 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
